Região,Ano,Faixa_Etaria,Obitos
Sudeste,2005,1 a 4 anos,78
Sudeste,2006,1 a 4 anos,76
Sudeste,2007,1 a 4 anos,68
Sudeste,2008,1 a 4 anos,63
Sudeste,2009,1 a 4 anos,63
Sudeste,2010,1 a 4 anos,60
Sudeste,2011,1 a 4 anos,57
Sudeste,2012,1 a 4 anos,81
Sudeste,2013,1 a 4 anos,59
Sudeste,2014,1 a 4 anos,52
Sudeste,2015,1 a 4 anos,54
Sudeste,2016,1 a 4 anos,64
Sudeste,2017,1 a 4 anos,56
Sudeste,2018,1 a 4 anos,66
Sudeste,2019,1 a 4 anos,67
Sudeste,2020,1 a 4 anos,47
Sudeste,2021,1 a 4 anos,62
Sudeste,2022,1 a 4 anos,59
Nordeste,1979,5 a 9 anos,104
Nordeste,1980,5 a 9 anos,139
Nordeste,1981,5 a 9 anos,118
Nordeste,1982,5 a 9 anos,112
Nordeste,1983,5 a 9 anos,130
Nordeste,1984,5 a 9 anos,151
Nordeste,1985,5 a 9 anos,118
Nordeste,1986,5 a 9 anos,148
Nordeste,1987,5 a 9 anos,134
Nordeste,1988,5 a 9 anos,115
Nordeste,1989,5 a 9 anos,129
Nordeste,1990,5 a 9 anos,127
Nordeste,1991,5 a 9 anos,114
Nordeste,1992,5 a 9 anos,107
Nordeste,1993,5 a 9 anos,110
Nordeste,1994,5 a 9 anos,94
Nordeste,1995,5 a 9 anos,111
Sudeste,1979,5 a 9 anos,25
Sudeste,1980,5 a 9 anos,41
Sudeste,1981,5 a 9 anos,30
Sudeste,1982,5 a 9 anos,42
Sudeste,1983,5 a 9 anos,47
Sudeste,1984,5 a 9 anos,56
Sudeste,1985,5 a 9 anos,38
Sudeste,1986,5 a 9 anos,44
Sudeste,1987,5 a 9 anos,54
Sudeste,1988,5 a 9 anos,39
Sudeste,1989,5 a 9 anos,39
Sudeste,1990,5 a 9 anos,46
Sudeste,1991,5 a 9 anos,41
Sudeste,1992,5 a 9 anos,55
Sudeste,1993,5 a 9 anos,53
Sudeste,1994,5 a 9 anos,50
Sudeste,1995,5 a 9 anos,59
Nordeste,1996,5 a 9 anos,40
Nordeste,1997,5 a 9 anos,44
Nordeste,1998,5 a 9 anos,53
Nordeste,1999,5 a 9 anos,48
Nordeste,2000,5 a 9 anos,57
Nordeste,2001,5 a 9 anos,50
Nordeste,2002,5 a 9 anos,71
Nordeste,2003,5 a 9 anos,55
Nordeste,2004,5 a 9 anos,57
Nordeste,2005,5 a 9 anos,63
Nordeste,2006,5 a 9 anos,55
