Regiaﬁo;ClassificaÁaﬁo;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
Sudeste;CID10;2008;14;63;99;82;110;187;192;272;320;408;510;437;;2694
Sudeste;CID10;2009;6;63;102;116;99;191;184;231;326;383;522;424;;2647
Sudeste;CID10;2010;9;60;70;92;109;193;200;241;346;419;579;499;;2817
Sudeste;CID10;2011;11;57;73;92;102;175;207;222;349;489;594;513;;2884
Sudeste;CID10;2012;19;81;78;94;106;198;189;230;340;433;547;515;;2830
Sudeste;CID10;2013;12;59;86;84;99;175;195;269;338;480;575;568;;2940
Sudeste;CID10;2014;7;52;65;70;97;169;203;226;349;470;600;562;;2870
Sudeste;CID10;2015;10;54;58;114;88;169;219;240;397;572;614;581;1;3117
Sudeste;CID10;2016;15;64;77;71;88;202;213;256;350;560;647;684;;3227
Sudeste;CID10;2017;6;56;53;63;94;149;209;208;341;566;637;629;;3011
Sudeste;CID10;2018;8;66;62;73;86;159;183;223;362;555;703;701;1;3182
Sudeste;CID10;2019;10;67;55;69;81;172;201;250;386;589;699;698;;3277
Sudeste;CID10;2020;10;47;56;65;67;153;164;236;329;522;647;643;;2939
Sudeste;CID10;2021;14;62;53;67;71;141;177;193;357;555;643;672;;3005
Sudeste;CID10;2022;8;59;62;51;75;169;172;242;319;599;704;662;;3122
